id;prsnumber;productcode;user_id;created_by;created_date;updated_by;updated_date;is_active
395;203669;63268;USER0008;NULL;NULL;NULL;NULL;Y
396;203669;60545;USER0008;NULL;NULL;NULL;NULL;Y
397;203671;69996;USER0007;NULL;NULL;NULL;NULL;Y
398;203671;62394;USER0007;NULL;NULL;NULL;NULL;Y
399;203676;61771;USER0007;NULL;NULL;NULL;NULL;Y
400;203680;60383;USER0009;NULL;NULL;NULL;NULL;Y
401;203683;01363;USER0007;NULL;NULL;NULL;NULL;Y
402;100054;99916;USER0009;NULL;NULL;NULL;NULL;Y
403;203687;64876;USER0007;NULL;NULL;NULL;NULL;Y
404;203688;62588;USER0007;NULL;NULL;NULL;NULL;Y
405;203688;63269;USER0007;NULL;NULL;NULL;NULL;Y
406;203688;60083;USER0007;NULL;NULL;NULL;NULL;Y
407;203690;60481;USER0007;NULL;NULL;NULL;NULL;Y
408;203690;60069;USER0007;NULL;NULL;NULL;NULL;Y
409;203690;62190;USER0007;NULL;NULL;NULL;NULL;Y
410;203690;60083;USER0007;NULL;NULL;NULL;NULL;Y
411;203690;63269;USER0007;NULL;NULL;NULL;NULL;Y
412;203691;61220;USER0008;NULL;NULL;NULL;NULL;Y
413;203694;64512;USER0007;NULL;NULL;NULL;NULL;Y
414;203695;01781;USER0007;NULL;NULL;NULL;NULL;Y
415;203695;01782;USER0007;NULL;NULL;NULL;NULL;Y
416;203696;61551;USER0009;NULL;NULL;NULL;NULL;Y
417;203696;61552;USER0009;NULL;NULL;NULL;NULL;Y
418;203696;63173;USER0009;NULL;NULL;NULL;NULL;Y
419;203697;62388;USER0007;NULL;NULL;NULL;NULL;Y
420;203698;61732;USER0007;NULL;NULL;NULL;NULL;Y
421;203699;64206;USER0007;NULL;NULL;NULL;NULL;Y
422;203700;64207;USER0007;NULL;NULL;NULL;NULL;Y
423;203701;64208;USER0008;NULL;NULL;NULL;NULL;Y
424;203702;64209;USER0008;NULL;NULL;NULL;NULL;Y
425;203704;64210;USER0008;NULL;NULL;NULL;NULL;Y
426;203705;62828;USER0008;NULL;NULL;NULL;NULL;Y
427;203707;64999;USER0008;NULL;NULL;NULL;NULL;Y
428;203707;63321;USER0008;NULL;NULL;NULL;NULL;Y
429;203708;60505;USER0007;NULL;NULL;NULL;NULL;Y
